VALORANT session stopped
Summary: 1782 new process(es)
Processes:
- System | pid=4 | exe=
- GameManagerService3.exe | pid=4740 | exe=C:\Program Files (x86)\Razer\Razer Services\GMS3\GameManagerService3.exe
- RazerCentralService.exe | pid=4748 | exe=C:\Program Files (x86)\Razer\Razer Services\Razer Central\RazerCentralService.exe
- msedgewebview2.exe | pid=14000 | exe=C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.139\msedgewebview2.exe
- OP.GG.exe | pid=22192 | exe=C:\Users\artem\AppData\Local\Programs\OP.GG\OP.GG.exe
- firefox.exe | pid=4788 | exe=C:\Program Files\Mozilla Firefox\firefox.exe
- OP.GG.exe | pid=25268 | exe=C:\Users\artem\AppData\Local\Programs\OP.GG\OP.GG.exe
- OverwolfBrowser.exe | pid=31412 | exe=C:\Program Files (x86)\Overwolf\0.292.1.1\OverwolfBrowser.exe
- msedgewebview2.exe | pid=23228 | exe=C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.139\msedgewebview2.exe
- firefox.exe | pid=32476 | exe=C:\Program Files\Mozilla Firefox\firefox.exe
- OverwolfBrowser.exe | pid=23264 | exe=C:\Program Files (x86)\Overwolf\0.292.1.1\OverwolfBrowser.exe
- crashhelper.exe | pid=6892 | exe=C:\Program Files\Mozilla Firefox\crashhelper.exe
- firefox.exe | pid=23280 | exe=C:\Program Files\Mozilla Firefox\firefox.exe
- DisplayFusionHookApp32.exe | pid=1780 | exe=C:\Program Files\DisplayFusion\DisplayFusionHookApp32.exe
- msedge.exe | pid=20212 | exe=C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
- DisplayFusion.exe | pid=26360 | exe=C:\Program Files\DisplayFusion\DisplayFusion.exe
- OP.GG.exe | pid=26376 | exe=C:\Users\artem\AppData\Local\Programs\OP.GG\OP.GG.exe
- msedge.exe | pid=11032 | exe=C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
- firefox.exe | pid=6940 | exe=C:\Program Files\Mozilla Firefox\firefox.exe
- Code.exe | pid=19236 | exe=C:\Users\artem\AppData\Local\Programs\Microsoft VS Code\Code.exe
- Code.exe | pid=19260 | exe=C:\Users\artem\AppData\Local\Programs\Microsoft VS Code\Code.exe
- MSI.CentralServer.exe | pid=6976 | exe=C:\Program Files (x86)\MSI\MSI Center\MSI.CentralServer.exe
- Code.exe | pid=18252 | exe=C:\Users\artem\AppData\Local\Programs\Microsoft VS Code\Code.exe
- firefox.exe | pid=10064 | exe=C:\Program Files\Mozilla Firefox\firefox.exe
- msedgewebview2.exe | pid=13140 | exe=C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.139\msedgewebview2.exe
- firefox.exe | pid=17240 | exe=C:\Program Files\Mozilla Firefox\firefox.exe
- OverwolfBrowser.exe | pid=16232 | exe=C:\Program Files (x86)\Overwolf\0.292.1.1\OverwolfBrowser.exe
- Razer Central.exe | pid=23404 | exe=C:\Program Files (x86)\Razer\Razer Services\Razer Central\Razer Central.exe
- DisplayFusionService.exe | pid=31600 | exe=C:\Program Files\DisplayFusion\DisplayFusionService.exe
- msedgewebview2.exe | pid=14208 | exe=C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.139\msedgewebview2.exe
- msedgewebview2.exe | pid=26496 | exe=C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.139\msedgewebview2.exe
- firefox.exe | pid=20380 | exe=C:\Program Files\Mozilla Firefox\firefox.exe
- Code.exe | pid=18344 | exe=C:\Users\artem\AppData\Local\Programs\Microsoft VS Code\Code.exe
- Code.exe | pid=19376 | exe=C:\Users\artem\AppData\Local\Programs\Microsoft VS Code\Code.exe
- msedge.exe | pid=15288 | exe=C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
- CefSharp.BrowserSubprocess.exe | pid=23480 | exe=C:\Program Files (x86)\Razer\Razer Services\Razer Central\CefSharp.BrowserSubprocess.exe
- Code.exe | pid=18368 | exe=C:\Users\artem\AppData\Local\Programs\Microsoft VS Code\Code.exe
- MicrosoftEdgeUpdate.exe | pid=8132 | exe=C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe
